REPLICA,APP,ENV,CPU_LIMIT,CPU_REQ,MEM_LIMIT,MEM_REQ
1,bam-hpcsync-v1,INT05,200m,50m,650Mi,256Mi
1,bam-manage-v1,INT05,400m,50m,650Mi,256Mi
1,bem-manage-v1,INT05,400m,50m,512Mi,256Mi
1,binq-bill-v1,INT05,400m,50m,512Mi,256Mi
1,binq-retrieve-v1,INT05,200m,50m,512Mi,256Mi
1,callback-util-v1,INT05,400m,50m,512Mi,256Mi
1,cam-manage-v1,INT05,200m,50m,650Mi,256Mi
1,casm-manage-v1,INT05,200m,50m,512Mi,256Mi
1,ccbm-manage-v1,INT05,200m,50m,512Mi,256Mi
1,ccm-manage-v1,INT05,500m,50m,1536Mi,256Mi
1,cic-manage-v1,INT05,200m,50m,700Mi,256Mi
1,cic-notification-v1,INT05,400m,50m,800Mi,256Mi
1,cim-hpcsync-v1,INT05,200m,50m,512Mi,256Mi
1,cim-manage-v1,INT05,400m,50m,512Mi,256Mi
1,coe-avail-v1,INT05,200m,50m,800Mi,256Mi
1,coe-feas-v1,INT05,400m,50m,650Mi,256Mi
1,colm-manage-v1,INT05,400m,50m,800Mi,256Mi
1,com-manage-v1,INT05,500m,50m,1Gi,360Mi
1,cpdi-proact-v1,INT05,300m,50m,650Mi,256Mi
1,cpm-manage-v1,INT05,200m,50m,512Mi,256Mi
1,cpm-retrieve-v1,INT05,400m,50m,512Mi,256Mi
1,cpm-retrieve-v2,INT05,400m,50m,850Mi,256Mi
1,csb-retrieve-v1,INT05,400m,50m,650Mi,256Mi
1,csb-usage-v1,INT05,200m,50m,512Mi,256Mi
1,csb-usagesumm-v1,INT05,200m,50m,512Mi,256Mi
1,csfm-manage-v1,INT05,250m,50m,650Mi,256Mi
1,csm-ahsync-v1,INT05,400m,50m,650Mi,256Mi
1,csm-manage-v1,INT05,400m,50m,650Mi,256Mi
1,csm-retrieve-v1,INT05,300m,50m,650Mi,256Mi
1,cust-billingbal-v1,INT05,200m,50m,750Mi,256Mi
1,cust-billinq-v1,INT05,200m,50m,650Mi,256Mi
1,cust-billmng-v1,INT05,200m,50m,650Mi,256Mi
1,cust-fulfil-v1,INT05,200m,50m,512Mi,256Mi
1,cust-fulfil-v2,INT05,400m,50m,650Mi,256Mi
1,cust-opsmng-v1,INT05,500m,50m,1Gi,256Mi
1,intg-dbpoll-v1,INT05,400m,50m,800Mi,256Mi
1,lom-manage-v1,INT05,400m,50m,800Mi,256Mi
1,nim-manage-v1,INT05,200m,50m,512Mi,256Mi
1,pay-manage-v1,INT05,200m,50m,512Mi,256Mi
1,pay-manage-v2,INT05,200m,50m,512Mi,256Mi
1,pcm-manage-es-v1,INT05,200m,50m,512Mi,256Mi
1,pcm-manage-v1,INT05,400m,50m,650Mi,256Mi
1,res-manage-v1,INT05,300m,50m,750Mi,256Mi
1,res-retrieve-v1,INT05,200m,50m,512Mi,256Mi
1,rim-manage-es-v1,INT05,200m,50m,512Mi,256Mi
1,rim-manage-v1,INT05,300m,50m,1Gi,256Mi
1,rim-simmng-v1,INT05,250m,50m,650Mi,256Mi
1,sclm-manage-v1,INT05,200m,50m,512Mi,256Mi
1,scm-manage-v1,INT05,200m,50m,450Mi,256Mi
1,scm-mngsvc-v1,INT05,400m,50m,512Mi,256Mi
1,sim-manage-v1,INT05,200m,50m,650Mi,256Mi
1,sm-manage-v1,INT05,250m,50m,512Mi,256Mi
1,som-manage-v1,INT05,200m,50m,650Mi,256Mi
1,spam-manage-v1,INT05,400m,50m,650Mi,256Mi
1,spof-lfcaccess-v1,INT05,400m,50m,800Mi,256Mi
1,spom-manage-v1,INT05,200m,50m,750Mi,256Mi
1,spop-lfcaccess-v1,INT05,400m,50m,512Mi,256Mi
1,spop-lfcaccessutil-v1,INT05,400m,50m,650Mi,256Mi
1,spot-lfcaccess-v1,INT05,400m,50m,650Mi,256Mi
1,spot-lfcapptmt-v1,INT05,200m,50m,800Mi,256Mi
1,spot-lfcnotif-v1,INT05,400m,50m,650Mi,256Mi
1,vchm-manage-v1,INT05,400m,50m,750Mi,256Mi
1,wfsm-manage-v1,INT05,400m,50m,512Mi,256Mi
1,ws-com-manage-v1,INT05,200m,50m,512Mi,256Mi
1,ws-scm-manage-v1,INT05,200m,50m,450Mi,256Mi
